model,variable,horizon,beta,se,t_stat,p_val,ci_low,ci_high
ECI,fexp,2,-.0050505848441524,.00187212155949,-2.697786806925226,.0096034511025871,-.0088147375221607,-.0012864321661441
ECI,vol,2,-.0044229896197548,.0031793361723914,-1.391167646303965,.1705896255686433,-.0108154734341369,.0019694941946273
ECI,rer,2,-.0247714729638048,.0880949666286931,-.28119055959477,.7797728623214077,-.2018982748392021,.1523553289115925
ECI,humcap,2,-.0984753772630145,.2178999199809376,-.4519293869939436,.6533555035833283,-.5365925300602268,.3396417755341978
ECI,innov,2,-.0203054302955126,.0534938303209743,-.3795845272936285,.705928093203159,-.1278619848573166,.0872511242662914
ECI,net,2,-.0011176648227595,.0020541551125854,-.5440995258399864,.5888916354337009,-.0052478204896752,.0030124908441562
ECI,log_gdppc,2,-.085261095076834,.1826808758104919,-.4667215147648051,.6428106602467683,-.452565613534645,.282043423380977
ECI,govcons,2,-.0080344038218302,.0055177683932211,-1.45609660450789,.1518761199938798,-.019128620737761,.0030598130941006
ECI,fin,2,-.0017048196999556,.002586836299536,-.6590365614791291,.5130216290832779,-.0069060026760867,.0034963632761755
ECI,rents,3,-.0161809170772716,.0040688668745491,-3.976762468805206,.0002346235888798,-.0243619222393859,-.0079999119151573
ECI,inst,3,.3291886518005915,.1135872981529652,2.898111471559798,.0056428972064202,.1008060821096128,.5575712214915702
ECI,rents_x_inst,3,-.0115111785352187,.0029767731010013,-3.86699897662562,.0003311040165012,-.0174963819976528,-.0055259750727846
ECI,log_oilpc,3,.0346715620447479,.0244979017237916,1.415287008481872,.16343991089331,-.0145847706499701,.0839278947394659
ECI,log_gaspc,3,.0400871178713031,.0396784510770662,1.010299464398022,.3174177519932229,-.0396917549929389,.1198659907355451
ECI,log_coalpc,3,-.002751381403096,.0256651514893419,-.1072030065452207,.9150747604086814,-.0543546270472582,.0488518642410662
ECI,hhi,3,-.1308109769391241,.1673378439009278,-.7817178343505526,.4382194676551396,-.4672662621522278,.2056443082739796
ECI,pexp,3,-.0020568082942632,.0016146679167645,-1.273827437151702,.2088582229687932,-.0053033157297306,.0011896991412042
ECI,fexp,3,-.0052399959325278,.0015114359987901,-3.466898986607703,.0011203255611207,-.0082789416856197,-.0022010501794359
